"","country","adjusted_satisfaction","avg_satisfaction","std_satisfaction","avg_income","median_income","income_inequality","region","happyScore","GDP","country.1"
"1","Armenia",37,4.9,2.42,2096.76,1731.50666666667,31.4455555555556,"'Central and Eastern Europe'",4.35,0.76821,"Armenia"
"2","Angola",26,4.3,3.19,1448.88,1044.24,42.72,"'Sub-Saharan Africa'",4.033,0.75778,"Angola"
"3","Argentina",60,7.1,1.91,7101.12,5109.4,45.4755555555556,"'Latin America and Caribbean'",6.574,1.05351,"Argentina"
"4","Austria",59,7.2,2.11,19457.04,16879.62,30.29625,"'Western Europe'",7.2,1.33723,"Austria"
"5","Australia",65,7.6,1.8,19917,15846.06,35.285,"'Australia and New Zealand'",7.284,1.33358,"Australia"
"6","Azerbaijan",46,5.8,2.27,3381.6,2931.48,24.215,"'Central and Eastern Europe'",5.212,1.02389,"Azerbaijan"
"7","Bangladesh",43,5.3,2.1,1265.34,994.14,32.665,"'Southern Asia'",4.694,0.39753,"Bangladesh"
"8","Belgium",63,7.2,1.72,17168.505,15166.455,28.745,"'Western Europe'",6.937,1.30782,"Belgium"
"9","Burkina Faso",37,4.4,2.02,870.84,630.24,39.76,"'Sub-Saharan Africa'",3.587,0.25812,"Burkina Faso"
"10","Bulgaria",34,4.6,2.57,5354.82,4523.565,34.1625,"'Central and Eastern Europe'",4.218,1.01216,"Bulgaria"
"11","Burundi",25,2.9,1.96,572.88,436.92,33.36,"'Sub-Saharan Africa'",2.905,0.0153,"Burundi"
"12","Benin",20,3,2.7,989.04,657,43.44,"'Sub-Saharan Africa'",3.34,0.28665,"Benin"
"13","Bolivia",53,6.3,1.9,3985.71,2584.47,51.61,"'Latin America and Caribbean'",5.89,0.68133,"Bolivia"
"14","Brazil",56,6.9,2.19,5567.235,3294.18,54.33375,"'Latin America and Caribbean'",6.983,0.98124,"Brazil"
"15","Botswana",36,4.7,2.42,3484.68,1632.6,60.46,"'Sub-Saharan Africa'",4.332,0.99355,"Botswana"
"16","Belarus",47,5.5,1.99,5453.93333333333,4814.45333333333,27.7544444444444,"'Central and Eastern Europe'",5.813,1.03192,"Belarus"
"17","Canada",69,8,1.71,20190.78,16829.1,33.79,"'North America'",7.427,1.32629,"Canada"
"18","Switzerland",70,8,1.62,23400.04,19442.92,32.93,"'Western Europe'",7.587,1.39651,"Switzerland"
"19","Chile",55,6.8,2.13,7557.99,4448.01,51.27,"'Latin America and Caribbean'",6.67,1.10715,"Chile"
"20","Cameroon",36,3.9,1.69,1490.52,1030.08,42.82,"'Sub-Saharan Africa'",4.252,0.4225,"Cameroon"
"21","China",48,6.2,2.43,2673.64285714286,2108.13,37.5792857142857,"'Eastern Asia'",5.14,0.89012,"China"
"22","Colombia",65,7.9,2.09,4618.06285714286,2618.67428571429,54.8157142857143,"'Latin America and Caribbean'",6.477,0.91861,"Colombia"
"23","Costa Rica",73,8.5,1.71,6901.46666666667,4373.52,49.0188888888889,"'Latin America and Caribbean'",7.226,0.95578,"Costa Rica"
"24","Cyprus",58,7.1,2.07,10493.955,8624.295,31.84,"'Western Europe'",5.689,1.20813,"Cyprus"
"25","Czech Republic",54,6.6,2.13,9430.905,8363.37,26.41375,"'Central and Eastern Europe'",6.505,1.17898,"Czech Republic"
"26","Germany",61,7.2,1.99,19285.96,16291.26,31.5416666666667,"'Western Europe'",6.75,1.32792,"Germany"
"27","Djibouti",43,5.7,2.54,1875.24,1348.74,44.63,"'Sub-Saharan Africa'",4.369,0.44025,"Djibouti"
"28","Denmark",74,8.4,1.53,17496.51,15630.885,28.155,"'Western Europe'",7.527,1.32548,"Denmark"
"29","Dominican Republic",60,7.5,2.33,4430.76,2836.45333333333,48.4177777777778,"'Latin America and Caribbean'",4.885,0.89537,"Dominican Republic"
"30","Ecuador",57,6.8,1.99,3835.65333333333,2435.26666666667,50.0955555555555,"'Latin America and Caribbean'",5.975,0.86402,"Ecuador"
"31","Estonia",50,6.2,2.19,7906.725,6540.135,32.5275,"'Central and Eastern Europe'",5.429,1.15174,"Estonia"
"32","Spain",60,7,1.85,13842.99,11782.395,34.625,"'Western Europe'",6.329,1.23011,"Spain"
"33","Ethiopia",33,4.2,2.25,1050.72,857.16,33.17,"'Sub-Saharan Africa'",4.512,0.19073,"Ethiopia"
"34","Finland",70,7.9,1.53,17310.195,14962.56,27.72375,"'Western Europe'",7.406,1.29025,"Finland"
"35","France",52,6.4,2.15,18096.7885714286,14971.2514285714,32.2557142857143,"'Western Europe'",6.575,1.27778,"France"
"36","Gabon",34,4.2,2.21,2520.96,1791.48,42.18,"'Sub-Saharan Africa'",3.896,1.06024,"Gabon"
"37","United Kingdom",60,7.1,1.98,17099.55,14172.735,34.4325,"'Western Europe'",6.867,1.26637,"United Kingdom"
"38","Georgia",37,4.3,1.91,1957.26666666667,1483.77333333333,40.8944444444445,"'Central and Eastern Europe'",4.297,0.7419,"Georgia"
"39","Ghana",41,5.4,2.45,1577.04,1148.28,42.77,"'Sub-Saharan Africa'",4.633,0.54558,"Ghana"
"40","Greece",54,6.5,2.07,11507.565,9776.475,35.00125,"'Western Europe'",4.857,1.15406,"Greece"
"41","Honduras",55,7,2.46,3080.44,1757.84,55.8055555555556,"'Latin America and Caribbean'",4.788,0.59532,"Honduras"
"42","Croatia",47,6,2.48,7828.08,6622.11428571428,32.0085714285714,"'Central and Eastern Europe'",5.759,1.08254,"Croatia"
"43","Hungary",42,5.5,2.48,6903.88363636364,6056.71636363636,29.5554545454545,"'Central and Eastern Europe'",4.8,1.12094,"Hungary"
"44","Indonesia",50,6.1,2.14,1541.74736842105,1161.06666666667,34.9084210526316,"'Southeastern Asia'",5.399,0.82827,"Indonesia"
"45","Ireland",64,7.5,1.85,16657.77,13823.16,32.41875,"'Western Europe'",6.94,1.33596,"Ireland"
"46","Israel",61,7.3,2.09,10645.24,8234.68,41.94,"'Middle East and Northern Africa'",7.278,1.22857,"Israel"
"47","India",45,5.5,2.13,1357.848,1042.2,34.918,"'Southern Asia'",4.565,0.64499,"India"
"48","Iran",45,5.8,2.49,5215.04,3961,39.24,"'Middle East and Northern Africa'",4.686,1.0088,"Iran"
"49","Iceland",71,8.1,1.64,18828.345,16179.315,28.78,"'Western Europe'",7.561,1.30232,"Iceland"
"50","Italy",57,6.6,1.81,15437.595,13163.07,34.12625,"'Western Europe'",5.948,1.25114,"Italy"
"51","Japan",54,6.4,2.04,14542.8,12541.08,32.11,"'Eastern Asia'",5.987,1.27074,"Japan"
"52","Kenya",30,3.7,2.14,1492.68,949.08,48.51,"'Sub-Saharan Africa'",4.419,0.36471,"Kenya"
