Año;Producción de hulla en millones de toneladas;Rel.;Producción de antracita en millones de toneladas;Rel.;Producción de petróleo en millones de bushels;Rel.
1922;422.3;100;54.7;100;557.5;100
1923;564.6;134;93.3;171;732.4;131
1924;483.7;115;87.9;161;713.9;128
1925;520.1;123;61.8;113;763.7;137
1926;573.4;136;84.8;154;770.9;138
1927;517.8;123;80.1;146;901.1;162
1928;500.7;119;75.3;138;901.5;162
1929;535.0;127;73.8;135;1007.3;181
1930;467.5;111;69.4;127;898.0;161
1931;382.1;90;59.6;109;851.1;153
1932;309.7;73;49.9;91;785.2;141
1933;333.6;79;49.5;90;905.7;162
1934;359.4;85;57.2;105;908.1;163
1935;372.4;88;52.2;95;996.6;179
1936;434.1;103;54.8;100;1098.5;197
