"","year","inflacion"
"1",1961,6.6
"2",1962,12.9
"3",1963,43.8
"4",1964,47.9
"5",1965,38.8
"6",1966,28.6
"7",1967,25.1
"8",1968,33.5
"9",1969,40.2
"10",1970,40.6
"11",1971,17.7
"12",1972,87.6
"13",1973,414.8
"14",1974,678.6
"15",1975,347.2
"16",1976,247.3
"17",1977,101.8
"18",1978,56.3
"19",1979,48
"20",1980,29.1
"21",1981,11.6
"22",1982,7.7
"23",1983,31
"24",1984,15.7
"25",1985,41.7
"26",1986,21.5
"27",1987,25.8
"28",1988,21.7
"29",1989,13.8
"30",1990,22.5
"31",1991,21.4
"32",1992,13.5
"33",1993,12.2
"34",1994,14.5
"35",1995,11.7
"36",1996,4.1
"37",1997,3.3
"38",1998,0.8
"39",1999,2.2
"40",2000,4.6
"41",2001,4.3
"42",2002,3.3
"43",2003,4.3
"44",2004,7
"45",2005,7.1
"46",2006,12.3
"47",2007,5.1
"48",2008,0.3
"49",2009,3.6
"50",2010,8.9
"51",2011,3.3
"52",2012,0.8
"53",2013,2.3
"54",2014,5.9
"55",2015,5
"56",2016,4.6
"57",2017,4.8
"58",2018,1.6
"59",2019,2.6
"60",2020,9.7
"61",2021,6.9
"62",2022,7.9
"63",2023,6.6
