"","year","inflacion"
"1",1961,7.8
"2",1962,4.2
"3",1963,5.5
"4",1964,5.3
"5",1965,5.1
"6",1966,5
"7",1967,5.5
"8",1968,4.9
"9",1969,4.4
"10",1970,17.4
"11",1971,5.1
"12",1972,5.6
"13",1973,12.7
"14",1974,20.8
"15",1975,7.2
"16",1976,8
"17",1977,6.7
"18",1978,4.6
"19",1979,2.8
"20",1980,5.4
"21",1981,2.9
"22",1982,1.8
"23",1983,0.9
"24",1984,1.4
"25",1985,1.3
"26",1986,1.6
"27",1987,-0.2
"28",1988,0.6
"29",1989,2.1
"30",1990,2.6
"31",1991,2.9
"32",1992,1.7
"33",1993,0.5
"34",1994,0.2
"35",1995,-0.5
"36",1996,-0.4
"37",1997,0.5
"38",1998,0
"39",1999,-1.2
"40",2000,-1.3
"41",2001,-1.1
"42",2002,-1.4
"43",2003,-1.6
"44",2004,-1.1
"45",2005,-1.2
"46",2006,-0.9
"47",2007,-0.7
"48",2008,-0.9
"49",2009,-0.6
"50",2010,-1.9
"51",2011,-1.6
"52",2012,-0.8
"53",2013,-0.4
"54",2014,1.7
"55",2015,2.1
"56",2016,0.4
"57",2017,-0.1
"58",2018,0
"59",2019,0.6
"60",2020,0.9
"61",2021,-0.2
"62",2022,0.3
"63",2023,3.8
