"","year","inflacion"
"1",1961,2
"2",1962,0.7
"3",1963,4.9
"4",1964,-0.4
"5",1965,2.2
"6",1966,2.6
"7",1967,2.4
"8",1968,1.1
"9",1969,1.8
"10",1970,4.4
"11",1971,8.2
"12",1972,6.3
"13",1973,11.2
"14",1974,50.1
"15",1975,2.3
"16",1976,6.2
"17",1977,8.4
"18",1978,6.1
"19",1979,21.9
"20",1980,28
"21",1981,12.6
"22",1982,4.3
"23",1983,3.6
"24",1984,42.6
"25",1985,10.4
"26",1986,-1.2
"27",1987,37.4
"28",1988,18.5
"29",1989,89.2
"30",1990,41.7
"31",1991,21.4
"32",1992,28.2
"33",1993,31.6
"34",1994,62.9
"35",1995,51.8
"36",1996,115.5
"37",1997,33.9
"38",1998,18.9
"39",1999,26.2
"40",2000,29.5
"41",2001,8
"42",2002,33
"43",2003,34.9
"44",2004,34
"45",2005,29.6
"46",2006,17.9
"47",2007,15.4
"48",2008,30.1
"49",2009,7.8
"50",2010,45.9
"51",2011,28.1
"52",2012,14.1
"53",2013,35.5
"54",2014,40.4
