Entity,Year,produccion,produccionK
Colombia,1970,11619000,11619
Colombia,1971,11413000,11413
Colombia,1972,10403000,10403
Colombia,1973,9737000,9737
Colombia,1974,8910000,8910
Colombia,1975,8311000,8311
Colombia,1976,7747000,7747
Colombia,1977,7089000,7089
Colombia,1978,6739000,6739
Colombia,1979,6394000,6394
Colombia,1980,6486000,6486
Colombia,1981,6896000,6896
Colombia,1982,7308000,7308
Colombia,1983,7657000,7657
Colombia,1984,8633000,8633
Colombia,1985,9084000,9084
Colombia,1986,15629000,15629
Colombia,1987,19835000,19835
Colombia,1988,19358000,19358
Colombia,1989,20839000,20839
Colombia,1990,22647000,22647
Colombia,1991,21926896,21926.896
Colombia,1992,22593500,22593.5
Colombia,1993,23358814,23358.814
Colombia,1994,23405400,23405.4
Colombia,1995,30155238,30155.238
Colombia,1996,32286570,32286.57
Colombia,1997,33622738,33622.738
Colombia,1998,38885956,38885.956
Colombia,1999,42041092,42041.092
Colombia,2000,35527000,35527
Colombia,2001,31158988,31158.988
Colombia,2002,29734320,29734.32
Colombia,2003,27858918,27858.918
Colombia,2004,27274443,27274.443
Colombia,2005,27128522,27128.522
Colombia,2006,27189857,27189.857
Colombia,2007,27373951,27373.951
Colombia,2008,30363501,30363.501
Colombia,2009,34571842,34571.842
Colombia,2010,40493559,40493.559
Colombia,2011,47185198,47185.198
Colombia,2012,48672814,48672.814
Colombia,2013,51660305,51660.305
Colombia,2014,51059991,51059.991
Colombia,2015,51841046,51841.046
Colombia,2016,45661017,45661.017
Colombia,2017,45000000,45000
Colombia,2018,45600000,45600
Colombia,2019,46700000,46700
Colombia,2020,41300000,41300
Colombia,2021,38800000,38800
Colombia,2022,39700000,39700
Venezuela,1970,194306000,194306
Venezuela,1971,185620000,185620
Venezuela,1972,168437000,168437
Venezuela,1973,175776000,175776
Venezuela,1974,156167000,156167
Venezuela,1975,122400000,122400
Venezuela,1976,120170000,120170
Venezuela,1977,117189000,117189
Venezuela,1978,113628000,113628
Venezuela,1979,124106000,124106
Venezuela,1980,114788000,114788
Venezuela,1981,111687672,111687.672
Venezuela,1982,100391367,100391.367
Venezuela,1983,95525697,95525.697
Venezuela,1984,94658820,94658.82
Venezuela,1985,88009031,88009.031
Venezuela,1986,93744112,93744.112
Venezuela,1987,95256500,95256.5
Venezuela,1988,99918498,99918.498
Venezuela,1989,99939123,99939.123
Venezuela,1990,111876674,111876.674
Venezuela,1991,125041231,125041.231
Venezuela,1992,125762000,125762
Venezuela,1993,130200000,130200
Venezuela,1994,137000000,137000
Venezuela,1995,150000000,150000
Venezuela,1996,160000000,160000
Venezuela,1997,165438000,165438
Venezuela,1998,174291000,174291
Venezuela,1999,160175000,160175
Venezuela,2000,165156000,165156
Venezuela,2001,159941000,159941
Venezuela,2002,158609000,158609
Venezuela,2003,131400000,131400
Venezuela,2004,145200000,145200
Venezuela,2005,154500000,154500
Venezuela,2006,151200000,151200
Venezuela,2007,152100000,152100
Venezuela,2008,151000000,151000
Venezuela,2009,149900000,149900
Venezuela,2010,142500000,142500
Venezuela,2011,141600000,141600
Venezuela,2012,139200000,139200
Venezuela,2013,137600000,137600
Venezuela,2014,138500000,138500
Venezuela,2015,135400000,135400
Venezuela,2016,120100000,120100
Venezuela,2017,114100000,114100
Venezuela,2018,83800000,83800
Venezuela,2019,52100000,52100
Venezuela,2020,32700000,32700
Venezuela,2021,33400000,33400
Venezuela,2022,37300000,37300
